"Country or Area","Year(s)","Variant","Value"
"World","2063","Constant fertility","12146725.325"
"World","2063","Instant replacement","9811686.785"
"World","2063","Zero migration","10252197.596"
"World","2063","Constant mortality","9501366.668"
"World","2063","No change","11245604.888"
"World","2063","Momentum","9286149.742"
"World","2062","Medium","10221118.372"
"World","2062","High","11721883.849"
"World","2062","Low","8854062.251"
"World","2062","Constant fertility","12005425.7"
"World","2062","Instant replacement","9786542.331"
"World","2062","Zero migration","10219207.221"
"World","2062","Constant mortality","9497245.924"
"World","2062","No change","11146612.287"
"World","2062","Momentum","9279232.667"
"World","2061","Medium","10186811.588"
"World","2061","High","11625422.715"
"World","2061","Low","8869348.562"
"World","2061","Constant fertility","11867580.806"
"World","2061","Instant replacement","9760648.504"
"World","2061","Zero migration","10185153.74"
"World","2061","Constant mortality","9491741.339"
"World","2061","No change","11049785.939"
"World","2061","Momentum","9271524.394"
"World","2060","Medium","10151448.761"
"World","2060","High","11529195.606"
"World","2060","Low","8882865.004"
"World","2060","Constant fertility","11733060.647"
"World","2060","Instant replacement","9733981.564"
"World","2060","Zero migration","10150025.682"
"World","2060","Constant mortality","9484824.031"
"World","2060","No change","10955030.891"
"World","2060","Momentum","9262991.591"
"World","2059","Medium","10115019.649"
"World","2059","High","11433225.846"
"World","2059","Low","8894570.161"
"World","2059","Constant fertility","11601724.785"
"World","2059","Instant replacement","9706516.353"
"World","2059","Zero migration","10113813.64"
"World","2059","Constant mortality","9476465.797"
"World","2059","No change","10862240.656"
"World","2059","Momentum","9253592.621"
"World","2058","Medium","10077505.218"
"World","2058","High","11337533.745"
"World","2058","Low","8904411.753"
"World","2058","Constant fertility","11473438.172"
"World","2058","Instant replacement","9678225.216"
"World","2058","Zero migration","10076499.44"
"World","2058","Constant mortality","9466631.094"
"World","2058","No change","10771312.751"
"World","2058","Momentum","9243284.433"
"World","2057","Medium","10038871.455"
"World","2057","High","11242182.069"
"World","2057","Low","8912293.666"
"World","2057","Constant fertility","11348085.826"
"World","2057","Instant replacement","9649077.336"
"World","2057","Zero migration","10038051.906"
"World","2057","Constant mortality","9455275.241"
"World","2057","No change","10682164.074"
"World","2057","Momentum","9232028.811"
"World","2056","Medium","9999078.316"
"World","2056","High","11147242.143"
"World","2056","Low","8918106.209"
"World","2056","Constant fertility","11225560.888"
"World","2056","Instant replacement","9619039.468"
"World","2056","Zero migration","9998433.14"
"World","2056","Constant mortality","9442348.75"
"World","2056","No change","10594718.142"
"World","2056","Momentum","9219787.672"
"World","2055","Medium","9958094.074"
"World","2055","High","11052768.465"
"World","2055","Low","8921763.259"
"World","2055","Constant fertility","11105753.278"
"World","2055","Instant replacement","9588075.838"
"World","2055","Zero migration","9957614.15"
"World","2055","Constant mortality","9427809.029"
"World","2055","No change","10508892.553"
"World","2055","Momentum","9206516.884"
"World","2054","Medium","9915902.218"
"World","2054","High","10958770.372"
"World","2054","Low","8923225.939"
"World","2054","Constant fertility","10988539.64"
"World","2054","Instant replacement","9556153.978"
"World","2054","Zero migration","9915579.58"
"World","2054","Constant mortality","9411624.384"
"World","2054","No change","10424589.713"
"World","2054","Momentum","9192167.521"
"World","2053","Medium","9872499.765"
"World","2053","High","10865247.752"
"World","2053","Low","8922480.959"
"World","2053","Constant fertility","10873794.607"
"World","2053","Instant replacement","9523235.187"
"World","2053","Zero migration","9872326.626"
"World","2053","Constant mortality","9393772.887"
"World","2053","No change","10341706.651"
"World","2053","Momentum","9176680.318"
"World","2052","Medium","9827884.64"
"World","2052","High","10772227.174"
"World","2052","Low","8919502.643"
"World","2052","Constant fertility","10761403.517"
"World","2052","Instant replacement","9489269.687"
"World","2052","Zero migration","9827855.666"
"World","2052","Constant mortality","9374236.031"
"World","2052","No change","10260149.65"
"World","2052","Momentum","9159986.822"
"World","2051","Medium","9782061.551"
"World","2051","High","10679734.9"
"World","2051","Low","8914275.714"
"World","2051","Constant fertility","10651253.586"
"World","2051","Instant replacement","9454201.938"
"World","2051","Zero migration","9782172.888"
"World","2051","Constant mortality","9353000.082"
"World","2051","No change","10179823.814"
"World","2051","Momentum","9142011.441"
"World","2050","Medium","9735033.99"
"World","2050","High","10587773.964"
"World","2050","Low","8906797.125"
"World","2050","Constant fertility","10543229.88"
"World","2050","Instant replacement","9417980.513"
"World","2050","Zero migration","9735283.057"
"World","2050","Constant mortality","9330049.954"
"World","2050","No change","10100631.145"
"World","2050","Momentum","9122680.322"
"World","2049","Medium","9686800.357"
"World","2049","High","10496326.313"
"World","2049","Low","8897069.833"
"World","2049","Constant fertility","10437216.717"
"World","2049","Instant replacement","9380583.956"
"World","2049","Zero migration","9687185.303"
"World","2049","Constant mortality","9305368.09"
"World","2049","No change","10022473.682"
"World","2049","Momentum","9101952.315"
"World","2048","Medium","9637357.637"
"World","2048","High","10405337.165"
"World","2048","Low","8885115.363"
"World","2048","Constant fertility","10333092.687"
"World","2048","Instant replacement","9341979.094"
"World","2048","Zero migration","9637876.062"
"World","2048","Constant mortality","9278933.53"
"World","2048","No change","9945244.889"
"World","2048","Momentum","9079768.895"
"World","2047","Medium","9586707.986"
"World","2047","High","10314720.278"
"World","2047","Low","8870980.782"
"World","2047","Constant fertility","10230730.531"
"World","2047","Instant replacement","9302090.07"
"World","2047","Zero migration","9587356.404"
"World","2047","Constant mortality","9250725.161"
"World","2047","No change","9868826.427"
"World","2047","Momentum","9056020.253"
"World","2046","Medium","9534854.828"
"World","2046","High","10224365.407"
"World","2046","Low","8854729.456"
"World","2046","Constant fertility","10129999.723"
"World","2046","Instant replacement","9260828.839"
"World","2046","Zero migration","9535628.726"
"World","2046","Constant mortality","9220721.485"
"World","2046","No change","9793093.54"
"World","2046","Momentum","9030579.437"
"World","2045","Medium","9481803.274"
"World","2045","High","10134164.407"
"World","2045","Low","8836426.199"
"World","2045","Constant fertility","10030773.878"
"World","2045","Instant replacement","9218132.931"
"World","2045","Zero migration","9482696.452"
"World","2045","Constant mortality","9188904.906"
"World","2045","No change","9717926.796"
"World","2045","Momentum","9003349.293"
"World","2044","Medium","9427555.367"
"World","2044","High","10044051.961"
"World","2044","Low","8816109.361"
"World","2044","Constant fertility","9932948.779"
"World","2044","Instant replacement","9173986.085"
"World","2044","Zero migration","9428561.5"
"World","2044","Constant mortality","9155260.025"
"World","2044","No change","9643230.983"
"World","2044","Momentum","8974288.35"
"World","2043","Medium","9372118.186"
"World","2043","High","9953952.155"
"World","2043","Low","8793831.802"
"World","2043","Constant fertility","9836414.565"
"World","2043","Instant replacement","9128405.675"
"World","2043","Zero migration","9373229.675"
"World","2043","Constant mortality","9119778.822"
"World","2043","No change","9568907.28"
"World","2043","Momentum","8943391.075"
"World","2042","Medium","9315508.05"
"World","2042","High","9863730.978"
"World","2042","Low","8769695.341"
"World","2042","Constant fertility","9741035.042"
"World","2042","Instant replacement","9081410.405"
"World","2042","Zero migration","9316714.505"
"World","2042","Constant mortality","9082460.885"
"World","2042","No change","9494828.339"
